LATITUDE,LONGITUDE,probability
48.8564017997,2.2323951959,-0.07323621
48.8612956903,2.2323951959,-0.055261668
48.8661895809,2.2323951959,-0.011775444
48.8710834715,2.2323951959,-0.05014377
48.8759773621,2.2323951959,-0.122511454
48.8808712527,2.2323951959,-0.083341055
48.8857651433,2.2323951959,-0.13099608
48.8906590339,2.2323951959,-0.099646516
48.8955529245,2.2323951959,-0.014226433
48.9004468151,2.2323951959,-0.10616028
48.9053407057,2.2323951959,-0.055758037
48.9102345963,2.2323951959,-0.032900006
48.9151284869,2.2323951959,-0.040992074
48.9200223775,2.2323951959,-0.051979594
48.9249162681,2.2323951959,-0.0636361
48.9298101587,2.2323951959,-0.063338116
48.9347040493,2.2323951959,-0.066095665
48.9395979399,2.2323951959,-0.066095665
48.9444918305,2.2323951959,-0.066095665
48.9493857211,2.2323951959,-0.064616546
48.9542796117,2.2323951959,-0.06486152
48.9591735023,2.2323951959,-0.06486152
48.9640673929,2.2323951959,-0.06486152
48.9689612835,2.2323951959,-0.06486152
48.9738551741,2.2323951959,-0.06486152
48.9787490647,2.2323951959,-0.06486152
48.7389484253,2.2372890865,-0.08530979
48.7438423159,2.2372890865,-0.08530979
48.7487362065,2.2372890865,-0.08530979
48.7536300971,2.2372890865,-0.08530979
48.7585239877,2.2372890865,-0.08530979
48.7634178783,2.2372890865,-0.08530979
48.7683117689,2.2372890865,-0.0955936
48.7732056595,2.2372890865,-0.09426113
48.7780995501,2.2372890865,-0.09417795
48.7829934407,2.2372890865,-0.09313108
48.7878873313,2.2372890865,-0.088927336
48.7927812219,2.2372890865,-0.0787543
48.7976751125,2.2372890865,-0.07900063
48.8025690031,2.2372890865,-0.075384974
48.8074628937,2.2372890865,-0.0816123
48.8123567843,2.2372890865,-0.14155494
48.8172506749,2.2372890865,-0.07576468
48.8221445655,2.2372890865,0.0029368012
48.8270384561,2.2372890865,0.06414505
48.8319323467,2.2372890865,0.12827097
48.8368262373,2.2372890865,0.23909265
48.8417201279,2.2372890865,0.35754994
48.8466140185,2.2372890865,0.20579371
48.8515079091,2.2372890865,-0.0057222242
48.8564017997,2.2372890865,-0.061037373
48.8612956903,2.2372890865,-0.04306281
48.8661895809,2.2372890865,0.00042343096
48.8710834715,2.2372890865,-0.037853144
48.8759773621,2.2372890865,-0.10114707
48.8808712527,2.2372890865,-0.06197663
48.8857651433,2.2372890865,-0.12159077
48.8906590339,2.2372890865,-0.090241246
48.8955529245,2.2372890865,-0.004821137
48.9004468151,2.2372890865,-0.09675498
48.9053407057,2.2372890865,-0.04635271
48.9102345963,2.2372890865,-0.023494696
48.9151284869,2.2372890865,-0.031586766
48.9200223775,2.2372890865,-0.042574268
48.9249162681,2.2372890865,-0.054230787
48.9298101587,2.2372890865,-0.053932793
48.9347040493,2.2372890865,-0.05669034
48.9395979399,2.2372890865,-0.05669034
48.9444918305,2.2372890865,-0.05669034
48.9493857211,2.2372890865,-0.055211224
48.9542796117,2.2372890865,-0.055538684
48.9591735023,2.2372890865,-0.055538684
48.9640673929,2.2372890865,-0.055538684
48.9689612835,2.2372890865,-0.055538684
48.9738551741,2.2372890865,-0.055538684
48.9787490647,2.2372890865,-0.055538684
48.7389484253,2.2421829771,-0.07768171
48.7438423159,2.2421829771,-0.07768171
48.7487362065,2.2421829771,-0.07768171
48.7536300971,2.2421829771,-0.07768171
48.7585239877,2.2421829771,-0.07768171
48.7634178783,2.2421829771,-0.07768171
48.7683117689,2.2421829771,-0.087965555
48.7732056595,2.2421829771,-0.086633086
48.7780995501,2.2421829771,-0.0865499
48.7829934407,2.2421829771,-0.08550304
48.7878873313,2.2421829771,-0.081299275
48.7927812219,2.2421829771,-0.071126245
48.7976751125,2.2421829771,-0.07137257
48.8025690031,2.2421829771,-0.06775691
48.8074628937,2.2421829771,-0.07398423
48.8123567843,2.2421829771,-0.15018988
48.8172506749,2.2421829771,-0.035907064
48.8221445655,2.2421829771,0.101965345
48.8270384561,2.2421829771,0.16801022
48.8319323467,2.2421829771,0.23213604
48.8368262373,2.2421829771,0.34295774
48.8417201279,2.2421829771,0.46141514
48.8466140185,2.2421829771,0.29340568
48.8515079091,2.2421829771,0.06510451
48.8564017997,2.2421829771,-0.02045909
48.8612956903,2.2421829771,-0.0024845114
48.8661895809,2.2421829771,0.04100169
48.8710834715,2.2421829771,0.0064983503
48.8759773621,2.2421829771,-0.034687802
48.8808712527,2.2421829771,0.0044826902
48.8857651433,2.2421829771,-0.040736545
48.8906590339,2.2421829771,-0.04725525
48.8955529245,2.2421829771,0.027540656
48.9004468151,2.2421829771,-0.064393185
