LATITUDE,LONGITUDE,probability
48.7389484253,2.2275013053,0.002527036
48.7438423159,2.2275013053,0.002527036
48.7487362065,2.2275013053,0.002527036
48.7536300971,2.2275013053,0.002527036
48.7585239877,2.2275013053,0.002527036
48.7634178783,2.2275013053,0.002527036
48.7683117689,2.2275013053,0.009377281
48.7732056595,2.2275013053,0.008928647
48.7780995501,2.2275013053,0.009427185
48.7829934407,2.2275013053,0.010664415
48.7878873313,2.2275013053,0.01298595
48.7927812219,2.2275013053,0.017213937
48.7976751125,2.2275013053,0.02152687
48.8025690031,2.2275013053,0.02212684
48.8074628937,2.2275013053,0.01724536
48.8123567843,2.2275013053,0.020467218
48.8172506749,2.2275013053,-0.02983603
48.8221445655,2.2275013053,-0.03307598
48.8270384561,2.2275013053,0.029146377
48.8319323467,2.2275013053,0.033905864
48.8368262373,2.2275013053,0.06735218
48.8417201279,2.2275013053,0.08985442
48.8466140185,2.2275013053,0.09180397
48.8515079091,2.2275013053,0.11706812
48.8564017997,2.2275013053,0.112436295
48.8612956903,2.2275013053,0.106108025
48.8661895809,2.2275013053,0.12122949
48.8710834715,2.2275013053,0.116897754
48.8759773621,2.2275013053,0.1246857
48.8808712527,2.2275013053,0.07792646
48.8857651433,2.2275013053,0.103432894
48.8906590339,2.2275013053,0.10961068
48.8955529245,2.2275013053,0.11150404
48.9004468151,2.2275013053,0.08241789
48.9053407057,2.2275013053,0.026685823
48.9102345963,2.2275013053,0.027880888
48.9151284869,2.2275013053,0.016913742
48.9200223775,2.2275013053,0.019693699
48.9249162681,2.2275013053,0.013118623
48.9298101587,2.2275013053,0.013242466
48.9347040493,2.2275013053,0.0120964125
48.9395979399,2.2275013053,0.0120964125
48.9444918305,2.2275013053,0.0120964125
48.9493857211,2.2275013053,0.007714488
48.9542796117,2.2275013053,0.007236527
48.9591735023,2.2275013053,0.007236527
48.9640673929,2.2275013053,0.007236527
48.9689612835,2.2275013053,0.007236527
48.9738551741,2.2275013053,0.007236527
48.9787490647,2.2275013053,0.007236527
48.7389484253,2.2323951959,0.002527036
48.7438423159,2.2323951959,0.002527036
48.7487362065,2.2323951959,0.002527036
48.7536300971,2.2323951959,0.002527036
48.7585239877,2.2323951959,0.002527036
48.7634178783,2.2323951959,0.002527036
48.7683117689,2.2323951959,0.009377281
48.7732056595,2.2323951959,0.008928647
