LATITUDE,LONGITUDE,probability
48.7976751125,2.2323951959,0.033702154
48.8025690031,2.2323951959,0.030339176
48.8074628937,2.2323951959,0.007877996
48.8123567843,2.2323951959,0.094230436
48.8172506749,2.2323951959,-0.100612454
48.8221445655,2.2323951959,-0.1251775
48.8270384561,2.2323951959,-0.11690614
48.8319323467,2.2323951959,-0.14286318
48.8368262373,2.2323951959,-0.1905973
48.8417201279,2.2323951959,-0.13868514
48.8466140185,2.2323951959,-0.18201832
48.8515079091,2.2323951959,-0.22587185
48.8564017997,2.2323951959,-0.2494726
48.8612956903,2.2323951959,-0.25039306
48.8661895809,2.2323951959,-0.21238215
48.8710834715,2.2323951959,-0.3177084
48.8759773621,2.2323951959,-0.34131005
48.8808712527,2.2323951959,-0.21409845
48.8857651433,2.2323951959,-0.33659336
48.8906590339,2.2323951959,-0.2333362
48.8955529245,2.2323951959,-0.10606505
48.9004468151,2.2323951959,-0.14236839
48.9053407057,2.2323951959,0.047597334
48.9102345963,2.2323951959,0.042935498
48.9151284869,2.2323951959,-4.1055795e-05
48.9200223775,2.2323951959,0.010726846
48.9249162681,2.2323951959,-0.009318272
48.9298101587,2.2323951959,-0.019903751
48.9347040493,2.2323951959,-0.024434933
48.9395979399,2.2323951959,-0.024434933
48.9444918305,2.2323951959,-0.024434933
48.9493857211,2.2323951959,-0.027905475
48.9542796117,2.2323951959,-0.03508877
48.9591735023,2.2323951959,-0.03508877
48.9640673929,2.2323951959,-0.03508877
48.9689612835,2.2323951959,-0.03508877
48.9738551741,2.2323951959,-0.03508877
48.9787490647,2.2323951959,-0.03508877
48.7389484253,2.2372890865,-0.015341732
48.7438423159,2.2372890865,-0.015341732
48.7487362065,2.2372890865,-0.015341732
48.7536300971,2.2372890865,-0.015341732
48.7585239877,2.2372890865,-0.015341732
48.7634178783,2.2372890865,-0.015341732
48.7683117689,2.2372890865,-0.0060478803
48.7732056595,2.2372890865,-0.005741154
48.7780995501,2.2372890865,-0.005741154
48.7829934407,2.2372890865,-0.00016771125
48.7878873313,2.2372890865,0.006739863
48.7927812219,2.2372890865,0.02629057
48.7976751125,2.2372890865,0.045620643
48.8025690031,2.2372890865,0.04225767
48.8074628937,2.2372890865,0.019796493
48.8123567843,2.2372890865,0.10614893
48.8172506749,2.2372890865,-0.08869396
48.8221445655,2.2372890865,-0.113258995
48.8270384561,2.2372890865,-0.10498766
48.8319323467,2.2372890865,-0.13094473
48.8368262373,2.2372890865,-0.17867881
48.8417201279,2.2372890865,-0.12676665
48.8466140185,2.2372890865,-0.17009984
48.8515079091,2.2372890865,-0.25106674
48.8564017997,2.2372890865,-0.27466744
48.8612956903,2.2372890865,-0.27558792
48.8661895809,2.2372890865,-0.22773975
48.8710834715,2.2372890865,-0.3508017
48.8759773621,2.2372890865,-0.37440345
48.8808712527,2.2372890865,-0.24719186
48.8857651433,2.2372890865,-0.35520643
48.8906590339,2.2372890865,-0.25194937
48.8955529245,2.2372890865,-0.10728076
48.9004468151,2.2372890865,-0.14358413
48.9053407057,2.2372890865,0.046381596
48.9102345963,2.2372890865,0.04171976
48.9151284869,2.2372890865,-0.001256793
48.9200223775,2.2372890865,0.009511109
48.9249162681,2.2372890865,-0.010534006
48.9298101587,2.2372890865,-0.021119488
48.9347040493,2.2372890865,-0.025650667
48.9395979399,2.2372890865,-0.025650667
48.9444918305,2.2372890865,-0.025650667
48.9493857211,2.2372890865,-0.02912121
48.9542796117,2.2372890865,-0.035657525
48.9591735023,2.2372890865,-0.035657525
48.9640673929,2.2372890865,-0.035657525
48.9689612835,2.2372890865,-0.035657525
48.9738551741,2.2372890865,-0.035657525
48.9787490647,2.2372890865,-0.035657525
48.7389484253,2.2421829771,-0.016388843
48.7438423159,2.2421829771,-0.016388843
48.7487362065,2.2421829771,-0.016388843
48.7536300971,2.2421829771,-0.016388843
48.7585239877,2.2421829771,-0.016388843
48.7634178783,2.2421829771,-0.016388843
48.7683117689,2.2421829771,-0.007095001
48.7732056595,2.2421829771,-0.0067882715
48.7780995501,2.2421829771,-0.0067882715
48.7829934407,2.2421829771,-0.0012148378
48.7878873313,2.2421829771,0.0056927456
48.7927812219,2.2421829771,0.025243452
48.7976751125,2.2421829771,0.044573538
48.8025690031,2.2421829771,0.041210566
48.8074628937,2.2421829771,0.05140111
48.8123567843,2.2421829771,0.1138542
48.8172506749,2.2421829771,-0.08098865
48.8221445655,2.2421829771,-0.024669303
48.8270384561,2.2421829771,-0.015639603
48.8319323467,2.2421829771,-0.0415966
48.8368262373,2.2421829771,-0.089330785
48.8417201279,2.2421829771,-0.03741851
48.8466140185,2.2421829771,-0.08075182
48.8515079091,2.2421829771,-0.25487676
48.8564017997,2.2421829771,-0.30685458
48.8612956903,2.2421829771,-0.28985173
48.8661895809,2.2421829771,-0.24200352
48.8710834715,2.2421829771,-0.36366755
48.8759773621,2.2421829771,-0.27984482
48.8808712527,2.2421829771,-0.15263309
48.8857651433,2.2421829771,-0.273179
48.8906590339,2.2421829771,-0.254119
48.8955529245,2.2421829771,-0.1142714
48.9004468151,2.2421829771,-0.16598146
48.9053407057,2.2421829771,0.012675636
48.9102345963,2.2421829771,0.008013795
48.9151284869,2.2421829771,-0.034962744
48.9200223775,2.2421829771,-0.024194846
48.9249162681,2.2421829771,-0.044239953
48.9298101587,2.2421829771,-0.057287555
48.9347040493,2.2421829771,-0.061818752
48.9395979399,2.2421829771,-0.061818752
48.9444918305,2.2421829771,-0.02883569
48.9493857211,2.2421829771,-0.03230624
48.9542796117,2.2421829771,-0.038842548
48.9591735023,2.2421829771,-0.038842548
