LATITUDE,LONGITUDE,probability
48.7389484253,2.2275013053,-8.468274e-05
48.7438423159,2.2275013053,-8.468274e-05
48.7487362065,2.2275013053,-8.468274e-05
48.7536300971,2.2275013053,-8.468274e-05
48.7585239877,2.2275013053,-8.468274e-05
48.7634178783,2.2275013053,-8.468274e-05
48.7683117689,2.2275013053,-7.5656346e-05
48.7732056595,2.2275013053,-6.947028e-05
48.7780995501,2.2275013053,-6.9383306e-05
48.7829934407,2.2275013053,-6.828861e-05
48.7878873313,2.2275013053,-6.389278e-05
48.7927812219,2.2275013053,-5.3254964e-05
48.7976751125,2.2275013053,-4.641229e-05
48.8025690031,2.2275013053,-6.1031402e-05
48.8074628937,2.2275013053,-7.032067e-05
48.8123567843,2.2275013053,-0.00018157905
48.8172506749,2.2275013053,-0.00041963888
48.8221445655,2.2275013053,-0.00043830206
48.8270384561,2.2275013053,-0.00022882123
48.8319323467,2.2275013053,-0.00016806943
48.8368262373,2.2275013053,-0.0001986359
48.8417201279,2.2275013053,-5.049827e-05
48.8466140185,2.2275013053,-6.2707215e-05
48.8515079091,2.2275013053,3.4557837e-05
48.8564017997,2.2275013053,-2.137287e-05
48.8612956903,2.2275013053,-2.7522578e-05
48.8661895809,2.2275013053,-5.1963674e-05
48.8710834715,2.2275013053,9.800039e-05
48.8759773621,2.2275013053,0.00021687573
48.8808712527,2.2275013053,2.6843947e-05
48.8857651433,2.2275013053,0.00017969306
48.8906590339,2.2275013053,0.00017893258
48.8955529245,2.2275013053,1.3374971e-05
48.9004468151,2.2275013053,1.1412298e-05
48.9053407057,2.2275013053,-3.2180706e-05
48.9102345963,2.2275013053,-3.8714283e-05
48.9151284869,2.2275013053,-6.087953e-05
48.9200223775,2.2275013053,-5.6968987e-05
48.9249162681,2.2275013053,-7.3512194e-05
48.9298101587,2.2275013053,-7.3200594e-05
48.9347040493,2.2275013053,-7.608413e-05
48.9395979399,2.2275013053,-7.608413e-05
48.9444918305,2.2275013053,-7.608413e-05
48.9493857211,2.2275013053,-7.481091e-05
48.9542796117,2.2275013053,-7.45978e-05
48.9591735023,2.2275013053,-7.45978e-05
48.9640673929,2.2275013053,-7.45978e-05
48.9689612835,2.2275013053,-7.45978e-05
48.9738551741,2.2275013053,-7.45978e-05
48.9787490647,2.2275013053,-7.45978e-05
48.7389484253,2.2323951959,-8.468274e-05
48.7438423159,2.2323951959,-8.468274e-05
48.7487362065,2.2323951959,-8.468274e-05
48.7536300971,2.2323951959,-8.468274e-05
48.7585239877,2.2323951959,-8.468274e-05
48.7634178783,2.2323951959,-8.468274e-05
48.7683117689,2.2323951959,-7.5656346e-05
48.7732056595,2.2323951959,-6.947028e-05
48.7780995501,2.2323951959,-6.9383306e-05
48.7829934407,2.2323951959,-6.828861e-05
48.7878873313,2.2323951959,-6.389278e-05
48.7927812219,2.2323951959,-5.3254964e-05
48.7976751125,2.2323951959,-4.641229e-05
48.8025690031,2.2323951959,-6.1031402e-05
48.8074628937,2.2323951959,-7.032067e-05
48.8123567843,2.2323951959,-0.00018157905
48.8172506749,2.2323951959,-0.00041963888
48.8221445655,2.2323951959,-0.00043830206
48.8270384561,2.2323951959,-0.00022882123
48.8319323467,2.2323951959,-0.00016806943
48.8368262373,2.2323951959,-0.0001986359
48.8417201279,2.2323951959,-5.049827e-05
48.8466140185,2.2323951959,-6.2707215e-05
48.8515079091,2.2323951959,3.4557837e-05
48.8564017997,2.2323951959,-2.137287e-05
48.8612956903,2.2323951959,-2.7522578e-05
48.8661895809,2.2323951959,-5.1963674e-05
48.8710834715,2.2323951959,9.800039e-05
48.8759773621,2.2323951959,0.00021687573
48.8808712527,2.2323951959,2.6843947e-05
48.8857651433,2.2323951959,0.00017969306
48.8906590339,2.2323951959,0.00017893258
48.8955529245,2.2323951959,1.3374971e-05
48.9004468151,2.2323951959,1.1412298e-05
48.9053407057,2.2323951959,-3.2180706e-05
48.9102345963,2.2323951959,-3.8714283e-05
48.9151284869,2.2323951959,-6.087953e-05
48.9200223775,2.2323951959,-5.6968987e-05
48.9249162681,2.2323951959,-7.3512194e-05
48.9298101587,2.2323951959,-7.3200594e-05
48.9347040493,2.2323951959,-7.608413e-05
48.9395979399,2.2323951959,-7.608413e-05
